url,label
unionbankofindia.co.in,legitimate
indianbank.in,legitimate
mahabank.in,legitimate
kotak-secure.com,malicious
federalbank.co.in,malicious
іndіanbank-onlіne.іn,malicious
canarabankbank.com,malicious
rblbank.bank.in.fake26.com,malicious
secure-equitasbank.com,malicious
nsdlbank.com,legitimate
dbs-confіrm.com,malicious
pnbindia.in,legitimate
federalbank.co.in,legitimate
ucoonline.in,legitimate
suryodaybank.com,legitimate
іcіcіbanklogіn.com,malicious
yesbank.in,legitimate
bankofbaroda.in,legitimate
federalbank-confirm.co.in,malicious
bankofbaroda.in,legitimate
canarabank.bank.in.fake810.com,malicious
secure-nsdlbank.com,malicious
ujjivansfbbank.in,malicious
nsdlbank.com,legitimate
kotaklogin.com,malicious
idfcfirstbank.com,legitimate
mahabank-verify.in,malicious
secure-indusind.com,malicious
suryodaybank123.com,malicious
nsdlbank.com,legitimate
idbibank-online.in,malicious
kotak123.com,malicious
secure-suryodaybank.com,malicious
dbs.com,legitimate
pnb1nd1a.in,malicious
suryodaybank.com,legitimate
karurvysyabank.co.in,legitimate
ucoonlinebank.in,malicious
karurvysyabank.co.in,malicious
ucoonline.in,legitimate
ucoonline.in,legitimate
axisbank-confirm.com,malicious
indianbank.in,legitimate
aubank.in,legitimate
hdfcbank.com,malicious
bankofbaroda.in,legitimate
bankofindia.co.in,legitimate
yesbank.in,legitimate
rblbank.com,legitimate
icicibank-secure.com,malicious
ucoonline.in,legitimate
hdfcbank123.com,malicious
1c1c1bank.com,malicious
karurvysyabank-onlіne.co.іn,malicious
indusind.com,legitimate
pnbindia.in,legitimate
dbsbank.com,malicious
unionbankofindia-online.co.in,malicious
kotak.com,legitimate
airtelbank.com,legitimate
airtelbank-verify.com,malicious
rblbank.com,legitimate
syndicatebank.in,legitimate
mahabank.in,legitimate
mahabank-update.іn,malicious
paytmbank-confirm.com,malicious
unionbankofindia.co.in,legitimate
karurvysyabank.co.in,legitimate
andhrabank-verify.in,malicious
icicibank.com,legitimate
nsdlbanklogіn.com,malicious
pnbindia.in,legitimate
federalbank.co.in,legitimate
bankofbaroda-secure.in,malicious
unionbankofindia.co.in,legitimate
kotak-secure.com,malicious
paytmbank.bank.in.fake566.com,malicious
secure-syndicatebank.in,malicious
canarabank.com,legitimate
centralbankofindia-verify.co.in,malicious
icicibank.com,legitimate
ujjivansfb.in,legitimate
axisbank.com,legitimate
indusind.com,legitimate
aubank-verіfy.іn,malicious
ujjivansfb.in,legitimate
kotak123.com,malicious
rblbank.com,legitimate
suryodaybank.com,malicious
secure-nsdlbank.com,malicious
ucoonline.bank.in.fake356.com,malicious
sbi.co.in,legitimate
pnbindia-update.in,malicious
syndicatebank-online.in,malicious
ucoonline-verify.in,malicious
axisbank.com,legitimate
suryodaybank.com,legitimate
nsdlbank-update.com,malicious
aubank-secure.in,malicious
airtelbank-verify.com,malicious
syndicatebank.in,legitimate
yesbank.in,legitimate
dbs.com,legitimate
axіsbank-update.com,malicious
bankofbaroda.in,legitimate
mahabank.in,malicious
indusind.com,legitimate
sbi.co.in,legitimate
nsdlbank.com,legitimate
paytmbank.com,legitimate
syndicatebank.in,legitimate
kotak.com,legitimate
centralbankofindia.co.in,legitimate
ujjivansfb.in,legitimate
idbibank.in,legitimate
suryodaybank.com,legitimate
suryodaybank.com,legitimate
airtelbankbank.com,malicious
federalbank.co.in,legitimate
ujjivansfb.in,legitimate
idfcfirstbank-update.com,malicious
aubank.in,legitimate
yesbank.in,legitimate
yesbanklogin.in,malicious
syndicatebanklogin.in,malicious
kotak.com,legitimate
andhrabank.in,malicious
dbsbank.com,malicious
aubank-verify.in,malicious
syndicatebank.in,legitimate
centralbankof1nd1a.co.іn,malicious
bankofbarodalogin.in,malicious
secure-pnbindia.in,malicious
aubank.in,legitimate
secure-ucoonline.in,malicious
unionbankofindia-update.co.in,malicious
idfcfirstbank.com,legitimate
bankofbaroda.in,malicious
canarabank.bank.in.fake542.com,malicious
bankofindiabank.co.in,malicious
equitasbank-confirm.com,malicious
karurvysyabank.co.in,legitimate
paytmbank.com,legitimate
paytmbank.com,legitimate
indianbanklogin.in,malicious
bankofindia-confirm.co.in,malicious
paytmbank.com,legitimate
bankofindia123.co.in,malicious
aubank.in,legitimate
bankofbaroda.bank.in.fake60.com,malicious
andhrabank.in,legitimate
bankofbaroda.in,legitimate
syndicatebank.bank.in.fake598.com,malicious
andhrabanklogin.in,malicious
secure-idbibank.in,malicious
sbi.co.in,legitimate
ujjivansfb.in,legitimate
unіonbankofіndіalogіn.co.іn,malicious
dbs.com,legitimate
hdfcbank.com,malicious
idbibank-confirm.in,malicious
centralbankofindia123.co.in,malicious
suryodaybank.com,legitimate
centralbankofindiabank.co.in,malicious
secure-ujjіvansfb.іn,malicious
federalbank123.co.in,malicious
unionbankofindia.co.in,legitimate
federalbank.co.in,legitimate
indusindbank.com,malicious
іdfcfіrstbank-verіfy.com,malicious
sbi-update.co.in,malicious
mahabankbank.in,malicious
equitasbank.com,legitimate
equitasbank-verify.com,malicious
indianbank.in,legitimate
idbibank.in,legitimate
ujjivansfb.in,legitimate
secure-equitasbank.com,malicious
secure-yesbank.іn,malicious
secure-yesbank.in,malicious
centralbankof1nd1a.co.in,malicious
icicibanklogin.com,malicious
idbibank-verify.in,malicious
karurvysyabank.co.in,legitimate
bankofbaroda-verify.in,malicious
idfcfirstbank.com,legitimate
aubank-online.in,malicious
aubank.in,legitimate
karurvysyabank.co.in,legitimate
paytmbank.com,legitimate
aubank123.in,malicious
indusind.com,legitimate
ujjivansfb.in,legitimate
bankofbaroda.in,legitimate
ucoonlinebank.in,malicious
bankofindia.co.in,legitimate
bankofindia.co.in,legitimate
equitasbank.com,legitimate
aubank.in,legitimate
centralbankofindia.co.in,legitimate
paytmbank.com,legitimate
hdfcbank.com,legitimate
bankofbaroda.in,legitimate
іndіanbankbank.іn,malicious
karurvysyabank.co.in,legitimate
pnbindiabank.in,malicious
indusind.com,legitimate
equitasbank.com,legitimate
syndicatebank.in,legitimate
aubanklogin.in,malicious
equitasbank.com,legitimate
1nd1anbank.in,malicious
